record_id,timestamp,site_id,environmental_condition,ambient_temperature_c,humidity_percent,panel_temperature_c,irradiance_w_m2,panel_voltage_v,panel_current_a,actual_power_w,expected_power_w,efficiency_percent,performance_ratio,power_loss_w,energy_kwh,soiling_index_percent,health_score,fault_detected,fault_type,alert_level,maintenance_required,wifi_rssi_dbm,device_status,comm_status,system_uptime_hr,temperature_difference,power_efficiency_ratio,energy_loss_percentage,hour,day,month
42,2026-07-06 00:41:00,SLR-STR01,Night,25.05,89.6,25.14,2.8,21.986,0.0,0.0,1.68,0.0,0.0,1.68,0.0,0.42,95.7,No,Degraded Output (Soiling),Normal,No,-56.9,ONLINE,Online,0.683,0.08999999999999986,0.0,100.0,0,6,7
43,2026-07-06 00:42:00,SLR-STR01,Night,24.72,88.5,24.76,1.2,21.998,0.0,0.0,0.72,0.0,0.0,0.72,0.0,0.42,95.9,No,Degraded Output (Soiling),Normal,No,-60.1,ONLINE,Online,0.7,0.0400000000000027,0.0,100.0,0,6,7
44,2026-07-06 00:43:00,SLR-STR01,Night,25.04,89.0,25.1,2.1,22.081,0.0,0.0,1.26,0.0,0.0,1.26,0.0,0.62,95.7,No,Degraded Output (Soiling),Normal,No,-52.7,ONLINE,Online,0.717,0.060000000000002274,0.0,100.0,0,6,7
45,2026-07-06 00:44:00,SLR-STR01,Night,25.35,87.4,25.35,0.0,21.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,95.8,No,Degraded Output (Soiling),Normal,No,-56.0,ONLINE,Online,0.733,0.0,0.0,0.0,0,6,7
46,2026-07-06 00:45:00,SLR-STR01,Night,24.62,89.9,24.62,0.0,22.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,96.1,No,Degraded Output (Soiling),Normal,No,-54.3,ONLINE,Online,0.75,0.0,0.0,0.0,0,6,7
47,2026-07-06 00:46:00,SLR-STR01,Night,25.21,88.9,25.26,1.5,22.046,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.07,96.0,No,Degraded Output (Soiling),Normal,No,-48.7,ONLINE,Online,0.767,0.05000000000000071,0.0,100.0,0,6,7
48,2026-07-06 00:47:00,SLR-STR01,Night,25.02,84.2,25.02,0.0,22.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,96.1,No,Degraded Output (Soiling),Normal,No,-65.3,ONLINE,Online,0.783,0.0,0.0,0.0,0,6,7
49,2026-07-06 00:48:00,SLR-STR01,Night,24.82,88.3,24.82,0.0,22.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,95.8,No,Degraded Output (Soiling),Normal,No,-54.4,ONLINE,Online,0.8,0.0,0.0,0.0,0,6,7
50,2026-07-06 00:49:00,SLR-STR01,Night,25.48,89.5,25.48,0.0,21.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,95.9,No,Degraded Output (Soiling),Normal,No,-59.0,ONLINE,Online,0.817,0.0,0.0,0.0,0,6,7
51,2026-07-06 00:50:00,SLR-STR01,Night,25.16,91.2,25.19,1.1,22.037,0.0,0.0,0.66,0.0,0.0,0.66,0.0,0.14,95.8,No,Degraded Output (Soiling),Normal,No,-48.3,ONLINE,Online,0.833,0.030000000000001137,0.0,100.0,0,6,7
52,2026-07-06 00:51:00,SLR-STR01,Night,24.66,87.6,24.66,0.0,22.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,95.8,No,Degraded Output (Soiling),Normal,No,-62.0,ONLINE,Online,0.85,0.0,0.0,0.0,0,6,7
53,2026-07-06 00:52:00,SLR-STR01,Night,24.97,87.2,24.97,0.0,21.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,95.8,No,Degraded Output (Soiling),Normal,No,-55.2,ONLINE,Online,0.867,0.0,0.0,0.0,0,6,7
54,2026-07-06 00:53:00,SLR-STR01,Night,25.09,91.2,25.09,0.0,22.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,95.7,No,Degraded Output (Soiling),Normal,No,-54.3,ONLINE,Online,0.883,0.0,0.0,0.0,0,6,7
55,2026-07-06 00:54:00,SLR-STR01,Night,24.89,87.6,24.97,2.3,21.963,0.0,0.0,1.38,0.0,0.0,1.38,0.0,0.56,95.5,No,Degraded Output (Soiling),Normal,No,-57.3,ONLINE,Online,0.9,0.0799999999999983,0.0,100.0,0,6,7
56,2026-07-06 00:55:00,SLR-STR01,Night,25.11,89.1,25.11,0.0,22.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,95.6,No,Degraded Output (Soiling),Normal,No,-55.3,ONLINE,Online,0.917,0.0,0.0,0.0,0,6,7
57,2026-07-06 00:56:00,SLR-STR01,Night,24.91,89.9,24.91,0.0,22.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,95.8,No,Degraded Output (Soiling),Normal,No,-49.8,ONLINE,Online,0.933,0.0,0.0,0.0,0,6,7
58,2026-07-06 00:57:00,SLR-STR01,Night,25.09,90.5,25.11,0.8,21.967,0.0,0.0,0.48,0.0,0.0,0.48,0.0,0.59,95.8,No,Degraded Output (Soiling),Normal,No,-60.2,ONLINE,Online,0.95,0.019999999999999574,0.0,100.0,0,6,7
59,2026-07-06 00:58:00,SLR-STR01,Night,25.27,89.0,25.27,0.0,21.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,96.0,No,Degraded Output (Soiling),Normal,No,-53.7,ONLINE,Online,0.967,0.0,0.0,0.0,0,6,7
60,2026-07-06 00:59:00,SLR-STR01,Night,24.74,86.6,24.83,3.0,21.975,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.08,96.0,No,Degraded Output (Soiling),Normal,No,-52.5,ONLINE,Online,0.983,0.08999999999999986,0.0,100.0,0,6,7
61,2026-07-06 01:00:00,SLR-STR01,Night,24.95,91.1,24.95,0.0,22.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,95.7,No,Degraded Output (Soiling),Normal,No,-58.8,ONLINE,Online,1.0,0.0,0.0,0.0,1,6,7
62,2026-07-06 01:01:00,SLR-STR01,Night,24.78,88.1,24.78,0.0,22.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,95.6,No,Degraded Output (Soiling),Normal,No,-50.3,ONLINE,Online,1.017,0.0,0.0,0.0,1,6,7
63,2026-07-06 01:02:00,SLR-STR01,Night,24.92,87.9,24.95,1.0,21.953,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.12,95.8,No,Degraded Output (Soiling),Normal,No,-45.1,ONLINE,Online,1.033,0.029999999999997584,0.0,100.0,1,6,7
64,2026-07-06 01:03:00,SLR-STR01,Night,24.59,93.2,24.62,1.1,22.008,0.0,0.0,0.66,0.0,0.0,0.66,0.0,0.24,95.7,No,Degraded Output (Soiling),Normal,No,-55.7,ONLINE,Online,1.05,0.030000000000001137,0.0,100.0,1,6,7
65,2026-07-06 01:04:00,SLR-STR01,Night,24.73,90.9,24.77,1.2,22.024,0.0,0.0,0.72,0.0,0.0,0.72,0.0,0.04,95.6,No,Degraded Output (Soiling),Normal,No,-65.5,ONLINE,Online,1.067,0.03999999999999915,0.0,100.0,1,6,7
66,2026-07-06 01:05:00,SLR-STR01,Night,24.82,86.9,24.86,1.2,21.963,0.0,0.0,0.72,0.0,0.0,0.72,0.0,0.59,95.4,No,Degraded Output (Soiling),Normal,No,-56.3,ONLINE,Online,1.083,0.03999999999999915,0.0,100.0,1,6,7
67,2026-07-06 01:06:00,SLR-STR01,Night,25.09,88.1,25.18,3.0,22.006,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.12,95.9,No,Degraded Output (Soiling),Normal,No,-56.8,ONLINE,Online,1.1,0.08999999999999986,0.0,100.0,1,6,7
68,2026-07-06 01:07:00,SLR-STR01,Night,25.14,88.6,25.14,0.0,22.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,95.8,No,Degraded Output (Soiling),Normal,No,-56.2,ONLINE,Online,1.117,0.0,0.0,0.0,1,6,7
69,2026-07-06 01:08:00,SLR-STR01,Night,24.52,87.5,24.56,1.3,21.961,0.0,0.0,0.78,0.0,0.0,0.78,0.0,0.59,95.9,No,Degraded Output (Soiling),Normal,No,-55.7,ONLINE,Online,1.133,0.03999999999999915,0.0,100.0,1,6,7
70,2026-07-06 01:09:00,SLR-STR01,Night,24.65,85.1,24.65,0.0,22.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,95.7,No,Degraded Output (Soiling),Normal,No,-54.2,ONLINE,Online,1.15,0.0,0.0,0.0,1,6,7
71,2026-07-06 01:10:00,SLR-STR01,Night,25.0,90.8,25.0,0.0,21.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,95.7,No,Degraded Output (Soiling),Normal,No,-55.0,ONLINE,Online,1.167,0.0,0.0,0.0,1,6,7
72,2026-07-06 01:11:00,SLR-STR01,Night,24.33,90.8,24.33,0.0,22.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,95.9,No,Degraded Output (Soiling),Normal,No,-62.4,ONLINE,Online,1.183,0.0,0.0,0.0,1,6,7
73,2026-07-06 01:12:00,SLR-STR01,Night,24.71,89.7,24.71,0.0,21.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,95.8,No,Degraded Output (Soiling),Normal,No,-56.0,ONLINE,Online,1.2,0.0,0.0,0.0,1,6,7
74,2026-07-06 01:13:00,SLR-STR01,Night,24.8,88.4,24.8,0.0,22.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,95.4,No,Degraded Output (Soiling),Normal,No,-55.1,ONLINE,Online,1.217,0.0,0.0,0.0,1,6,7
75,2026-07-06 01:14:00,SLR-STR01,Night,25.13,89.6,25.13,0.0,21.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,95.4,No,Degraded Output (Soiling),Normal,No,-56.1,ONLINE,Online,1.233,0.0,0.0,0.0,1,6,7
76,2026-07-06 01:15:00,SLR-STR01,Night,24.98,90.5,25.08,3.0,21.998,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.03,95.9,No,Degraded Output (Soiling),Normal,No,-65.0,ONLINE,Online,1.25,0.09999999999999787,0.0,100.0,1,6,7
77,2026-07-06 01:16:00,SLR-STR01,Night,24.72,87.1,24.72,0.0,22.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,95.8,No,Degraded Output (Soiling),Normal,No,-52.6,ONLINE,Online,1.267,0.0,0.0,0.0,1,6,7
78,2026-07-06 01:17:00,SLR-STR01,Night,24.71,88.6,24.71,0.0,22.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,95.8,No,Degraded Output (Soiling),Normal,No,-54.3,ONLINE,Online,1.283,0.0,0.0,0.0,1,6,7
79,2026-07-06 01:18:00,SLR-STR01,Night,24.73,88.1,24.73,0.0,22.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,96.2,No,Degraded Output (Soiling),Normal,No,-50.7,ONLINE,Online,1.3,0.0,0.0,0.0,1,6,7
80,2026-07-06 01:19:00,SLR-STR01,Night,25.17,90.7,25.17,0.2,22.025,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.11,96.1,No,Degraded Output (Soiling),Normal,No,-47.3,ONLINE,Online,1.317,0.0,0.0,100.0,1,6,7
81,2026-07-06 01:20:00,SLR-STR01,Night,24.67,89.8,24.67,0.0,22.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,95.8,No,Degraded Output (Soiling),Normal,No,-53.3,ONLINE,Online,1.333,0.0,0.0,0.0,1,6,7
82,2026-07-06 01:21:00,SLR-STR01,Night,24.7,86.6,24.7,0.0,21.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,95.6,No,Degraded Output (Soiling),Normal,No,-49.6,ONLINE,Online,1.35,0.0,0.0,0.0,1,6,7
83,2026-07-06 01:22:00,SLR-STR01,Night,24.86,88.0,24.86,0.0,21.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,95.7,No,Degraded Output (Soiling),Normal,No,-51.0,ONLINE,Online,1.367,0.0,0.0,0.0,1,6,7
84,2026-07-06 01:23:00,SLR-STR01,Night,24.73,93.0,24.73,0.0,22.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,95.8,No,Degraded Output (Soiling),Normal,No,-55.4,ONLINE,Online,1.383,0.0,0.0,0.0,1,6,7
85,2026-07-06 01:24:00,SLR-STR01,Night,24.71,87.3,24.8,3.0,22.013,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.54,95.7,No,Degraded Output (Soiling),Normal,No,-62.1,ONLINE,Online,1.4,0.08999999999999986,0.0,100.0,1,6,7
86,2026-07-06 01:25:00,SLR-STR01,Night,24.48,89.7,24.48,0.0,22.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,95.6,No,Degraded Output (Soiling),Normal,No,-56.8,ONLINE,Online,1.417,0.0,0.0,0.0,1,6,7
87,2026-07-06 01:26:00,SLR-STR01,Night,24.75,88.1,24.75,0.0,21.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,95.6,No,Degraded Output (Soiling),Normal,No,-56.4,ONLINE,Online,1.433,0.0,0.0,0.0,1,6,7
88,2026-07-06 01:27:00,SLR-STR01,Night,24.63,92.0,24.64,0.1,21.982,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.29,95.8,No,Degraded Output (Soiling),Normal,No,-61.6,ONLINE,Online,1.45,0.010000000000001563,0.0,100.0,1,6,7
89,2026-07-06 01:28:00,SLR-STR01,Night,25.03,89.3,25.03,0.0,21.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,96.0,No,Degraded Output (Soiling),Normal,No,-56.0,ONLINE,Online,1.467,0.0,0.0,0.0,1,6,7
90,2026-07-06 01:29:00,SLR-STR01,Night,24.9,88.5,24.99,3.0,22.004,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.32,96.1,No,Degraded Output (Soiling),Normal,No,-55.5,ONLINE,Online,1.483,0.08999999999999986,0.0,100.0,1,6,7
91,2026-07-06 01:30:00,SLR-STR01,Night,24.72,87.0,24.73,0.4,22.116,0.0,0.0,0.24,0.0,0.0,0.24,0.0,0.24,96.1,No,Degraded Output (Soiling),Normal,No,-63.3,ONLINE,Online,1.5,0.010000000000001563,0.0,100.0,1,6,7
92,2026-07-06 01:31:00,SLR-STR01,Night,24.89,88.9,24.89,0.0,21.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,96.1,No,Degraded Output (Soiling),Normal,No,-55.2,ONLINE,Online,1.517,0.0,0.0,0.0,1,6,7
93,2026-07-06 01:32:00,SLR-STR01,Night,24.63,91.2,24.66,0.7,21.955,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.28,96.1,No,Degraded Output (Soiling),Normal,No,-58.4,ONLINE,Online,1.533,0.030000000000001137,0.0,100.0,1,6,7
94,2026-07-06 01:33:00,SLR-STR01,Night,24.98,90.9,24.98,0.0,22.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,96.0,No,Degraded Output (Soiling),Normal,No,-57.7,ONLINE,Online,1.55,0.0,0.0,0.0,1,6,7
95,2026-07-06 01:34:00,SLR-STR01,Night,24.71,86.7,24.78,2.3,22.02,0.0,0.0,1.38,0.0,0.0,1.38,0.0,0.45,96.0,No,Degraded Output (Soiling),Normal,No,-53.6,ONLINE,Online,1.567,0.07000000000000028,0.0,100.0,1,6,7
96,2026-07-06 01:35:00,SLR-STR01,Night,24.85,92.7,24.85,0.0,21.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,96.1,No,Degraded Output (Soiling),Normal,No,-58.3,ONLINE,Online,1.583,0.0,0.0,0.0,1,6,7
